project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,380_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,400_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,420_sigmuid,0.14349912842117105,0.14349912842117105,1.0,211,0.2,0.14349912842117105,20.0,20.0,0.2,20.0,247,1,1
Net,440_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,460_sigmuid,0.14337032878742353,0.14337032878742353,2.0,211,0.2,0.14337032878742353,40.0,40.0,0.4,40.0,247,1,1
Net,480_sigmuid,0.2680471421522786,0.2680471421522786,0.0,211,0.2,0.2680471421522786,0.0,0.0,0.0,0.0,247,1,1
Net,500_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,520_sigmuid,0.5129880387428297,0.5129880387428297,0.0,211,0.2,0.5129880387428297,0.0,0.0,0.0,0.0,247,1,1
Net,540_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,560_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,580_sigmuid,0.21320860314291057,0.21320860314291057,0.0,211,0.2,0.21320860314291057,0.0,0.0,0.0,0.0,247,1,1
Net,600_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,20_sigmuid,0.0,0.0,5,624,0.2,0,100,100,1.0,100,39,1,1
Net,40_sigmuid,0.0,0.0,5,624,0.2,0,100,100,1.0,100,39,1,1
Net,60_sigmuid,0.03938225327479337,0.03938225327479337,3.0,624,0.2,0.03938225327479337,60.0,60.0,0.6,60.0,39,1,1
Net,80_sigmuid,0.0,0.0,5,624,0.2,0,100,100,1.0,100,39,1,1
Net,100_sigmuid,0.0,0.0,5,624,0.2,0,100,100,1.0,100,39,1,1
