project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Compress,80_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 26,ranked 3
Compress,100_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 6,ranked 7
Compress,120_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 13,ranked 6
Compress,140_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 19,ranked 5
Compress,160_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 5,ranked 16
Compress,180_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 10,ranked 10
Compress,200_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 9,ranked 11
Compress,220_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 29,ranked 23
Compress,240_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 12,ranked 21
Compress,260_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 17,ranked 18
Compress,280_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 8,ranked 15
Compress,300_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 18,ranked 13
Compress,320_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 30,ranked 9
Compress,340_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 25,ranked 20
Compress,360_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 4,ranked 27
Compress,380_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 7,ranked 22
Compress,400_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 16,ranked 30
Compress,420_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 20,ranked 25
Compress,440_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 27,ranked 8
Compress,460_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 11,ranked 19
